"['Buster', 'G.O.B.']","['Buster', 'George Michael']","['Buster', 'George']","['Buster', 'Lindsay']","['Buster', 'Lucille']","['Buster', 'Maeby']","['Buster', 'Michael']","['Buster', 'Tobias']","['G.O.B.', 'George Michael']","['G.O.B.', 'George']","['G.O.B.', 'Lindsay']","['G.O.B.', 'Lucille']","['G.O.B.', 'Maeby']","['G.O.B.', 'Michael']","['G.O.B.', 'Tobias']","['George Michael', 'Lindsay']","['George Michael', 'Lucille']","['George Michael', 'Maeby']","['George Michael', 'Michael']","['George Michael', 'Tobias']","['George', 'George Michael']","['George', 'Lindsay']","['George', 'Lucille']","['George', 'Maeby']","['George', 'Michael']","['George', 'Tobias']","['Lindsay', 'Lucille']","['Lindsay', 'Maeby']","['Lindsay', 'Michael']","['Lindsay', 'Tobias']","['Lucille', 'Maeby']","['Lucille', 'Michael']","['Lucille', 'Tobias']","['Maeby', 'Michael']","['Maeby', 'Tobias']","['Michael', 'Tobias']",episode
5.0,0.0,3.0,3.0,5.0,0.0,4.0,3.0,2.0,7.0,5.0,8.0,0.0,14.0,6.0,0.0,2.0,6.0,3.0,0.0,2.0,2.0,6.0,0.0,9.0,4.0,2.0,0.0,6.0,5.0,0.0,10.0,3.0,1.0,0.0,7.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Fakin%27_It
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,6.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Family_Ties
8.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,0.0,6.0,6.0,3.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,4.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Exit_Strategy
3.0,2.0,2.0,5.0,7.0,2.0,7.0,4.0,2.0,0.0,3.0,4.0,2.0,5.0,0.0,2.0,2.0,2.0,11.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,6.0,2.0,5.0,2.0,2.0,9.0,2.0,1.0,1.0,6.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Development_Arrested
0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,4.0,23.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Flight_of_the_Phoenix
1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Borderline_Personalities
0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,3.0,15.0,0.0,2.0,4.0,0.0,4.0,1.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Indian_Takers
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_The_B._Team
0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,10.0,0.0,2.0,2.0,0.0,2.0,2.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_A_New_Start
0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Double_Crossers
1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,2.0,2.0,8.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Colony_Collapse
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,4.0,6.0,10.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Red_Hairing
0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,7.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Smashed
1.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,3.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Queen_B.
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_A_New_Attitude
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,2.0,1.0,5.0,0.0,8.0,6.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,15.0,5.0,6.0,0.0,0.0,0.0,10.0,5.0,3.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Se%C3%B1oritis
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,10.0,12.0,4.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_It_Gets_Better
0.0,4.0,0.0,0.0,13.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,1.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Off_the_Hook
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,3.0,10.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Blockheads
