Buster+G.O.B.,Buster+George_Michael,Buster+George,Buster+Lindsay,Buster+Lucille,Buster+Maeby,Buster+Michael,Buster+Oscar,Buster+Tobias,G.O.B.+George_Michael,G.O.B.+George,G.O.B.+Lindsay,G.O.B.+Lucille,G.O.B.+Maeby,G.O.B.+Michael,G.O.B.+Oscar,G.O.B.+Tobias,George_Michael+Lindsay,George_Michael+Lucille,George_Michael+Maeby,George_Michael+Michael,George_Michael+Oscar,George_Michael+Tobias,George+George_Michael,George+Lindsay,George+Lucille,George+Maeby,George+Michael,George+Oscar,George+Tobias,Lindsay+Lucille,Lindsay+Maeby,Lindsay+Michael,Lindsay+Oscar,Lindsay+Tobias,Lucille+Maeby,Lucille+Michael,Lucille+Oscar,Lucille+Tobias,Maeby+Michael,Maeby+Oscar,Maeby+Tobias,Michael+Oscar,Michael+Tobias,Oscar+Tobias,episode,title_y,rating,numVotes
3.0,0.0,0.0,3.0,2.0,0.0,4.0,0.0,1.0,1.0,3.0,5.0,8.0,1.0,8.0,0.0,1.0,2.0,0.0,2.0,7.0,0.0,1.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,3.0,1.0,10.0,0.0,7.0,1.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Let_%27Em_Eat_Cake,Let 'Em Eat Cake,8.8,1720.0
4.0,4.0,2.0,2.0,8.0,3.0,9.0,6.0,1.0,4.0,2.0,3.0,3.0,3.0,12.0,2.0,1.0,3.0,5.0,3.0,13.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,9.0,1.0,5.0,3.0,10.0,6.0,0.0,4.0,1.0,0.0,4.0,5.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_The_One_Where_Michael_Leaves,The One Where Michael Leaves,8.8,1677.0
3.0,2.0,0.0,0.0,6.0,0.0,4.0,5.0,2.0,2.0,4.0,0.0,3.0,0.0,16.0,1.0,2.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,5.0,0.0,3.0,1.0,10.0,6.0,1.0,2.0,0.0,1.0,2.0,3.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_The_One_Where_They_Build_a_House,The One Where They Build a House,8.7,1669.0
4.0,4.0,0.0,3.0,4.0,2.0,4.0,2.0,2.0,4.0,0.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_%C2%A1Amigos!,Amigos,8.9,1761.0
6.0,3.0,3.0,4.0,3.0,4.0,6.0,2.0,1.0,3.0,3.0,5.0,5.0,5.0,9.0,2.0,1.0,4.0,3.0,3.0,10.0,1.0,2.0,6.0,4.0,1.0,3.0,5.0,0.0,0.0,3.0,7.0,9.0,2.0,3.0,3.0,6.0,2.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Good_Grief,Good Grief!,9.1,1891.0
4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,2.0,6.0,6.0,1.0,1.0,0.0,8.0,4.0,0.0,2.0,0.0,0.0,6.0,5.0,1.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Sad_Sack,Sad Sack,8.6,1566.0
3.0,2.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,3.0,1.0,3.0,3.0,3.0,15.0,0.0,2.0,9.0,2.0,4.0,6.0,0.0,5.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,6.0,6.0,0.0,5.0,2.0,15.0,1.0,3.0,13.0,1.0,1.0,2.0,5.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Afternoon_Delight,Afternoon Delight,9.1,1955.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,4.0,13.0,3.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,2.0,3.0,0.0,5.0,5.0,0.0,5.0,1.0,5.0,5.0,5.0,1.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Switch_Hitter,Switch Hitter,8.2,1530.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Queen_for_a_Day,Queen for a Day,8.1,1500.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Burning_Love,Burning Love,8.2,1513.0
